temperature,code,Stress,Time,process,LMP,C
700,MEB,22,3085.1,Hot Extruded,32585.05898,29.94772247
700,MEC,22,2364.2,Hot Extruded,32472.59474,30.11456163
700,MED,22,1220.9,Rotary pierced,32193.33973,29.86958151
700,MEE,22,2133.1,Hot Extruded,32429.12791,29.8730571
700,MEF,22,1118.4,Rotary pierced,32156.28504,29.94133313
700,MEG,22,3957.3,Hot Extruded,32690.2692,29.93655635
700,MEH,22,2135.6,Hot Extruded,32429.62287,29.64013895
700,MEJ,22,1928.4,Hot Extruded,32386.4968,29.93859128
700,MEL,22,1095.2,Rotary pierced,32147.42711,30.09449677
700,MEM,22,3783.4,Hot Extruded,32671.27944,29.86630429
700,MEN,22,2937.8,Rotary pierced,32564.38563,29.84793938
700,MEB,18,6400.4,Hot Extruded,32893.43952,29.85739325
700,MEC,18,5087.9,Hot Extruded,32796.46203,29.90862066
700,MED,18,2421.6,Rotary pierced,32482.73164,29.92231474
700,MEE,18,4770.4,Hot Extruded,32769.23382,29.73894227
700,MEF,18,2548.7,Rotary pierced,32504.34811,29.89447445
700,MEG,18,9537.4,Hot Extruded,33061.98539,30.08968308
700,MEH,18,5188.6,Hot Extruded,32804.74384,29.99263674
700,MEJ,18,3787.5,Hot Extruded,32671.73712,29.86041416
700,MEL,18,2268.6,Rotary pierced,32455.15246,29.99258682
700,MEM,18,8663.9,Hot Extruded,33021.39517,29.9711794
700,MEN,18,11278.4,Rotary pierced,33132.83681,29.78835633
